epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
118,143.579,0.85206,1.22927,0.70027,0.94018,0,0.99529,1,0.995,0.9018,0.99529,1,0.995,0.86677,0.47399,0.61639,0.46795,0.81934,0,0.00042085,0.00042085,0.00042085
119,144.686,0.72189,0.79003,0.61428,0.88242,0,0.99529,1,0.995,0.9018,0.99529,1,0.995,0.86677,0.47399,0.61639,0.46795,0.81934,0,0.0004159,0.0004159,0.0004159
120,145.846,0.74213,0.71971,0.62515,0.85581,0,0.99529,1,0.995,0.9018,0.99529,1,0.995,0.86677,0.47399,0.61639,0.46795,0.81934,0,0.00041095,0.00041095,0.00041095
121,146.951,0.72676,0.96231,0.67726,0.85059,0,0.99529,1,0.995,0.9018,0.99529,1,0.995,0.86677,0.47399,0.61639,0.46795,0.81934,0,0.000406,0.000406,0.000406
122,148.104,0.73246,0.89086,0.64631,0.87731,0,0.99526,1,0.995,0.91473,0.99526,1,0.995,0.86868,0.41831,0.58664,0.46638,0.8135,0,0.00040105,0.00040105,0.00040105
123,149.224,0.61072,0.93511,0.54458,0.8549,0,0.99526,1,0.995,0.91473,0.99526,1,0.995,0.86868,0.41831,0.58664,0.46638,0.8135,0,0.0003961,0.0003961,0.0003961
124,150.408,0.66216,0.81041,0.61728,0.85406,0,0.99526,1,0.995,0.91473,0.99526,1,0.995,0.86868,0.41831,0.58664,0.46638,0.8135,0,0.00039115,0.00039115,0.00039115
125,151.565,0.99594,1.16499,0.80409,0.96745,0,0.99526,1,0.995,0.91473,0.99526,1,0.995,0.86868,0.41831,0.58664,0.46638,0.8135,0,0.0003862,0.0003862,0.0003862
126,152.661,0.66005,1.29194,0.57056,0.87424,0,0.99558,1,0.995,0.91143,0.99558,1,0.995,0.86614,0.40629,0.56484,0.44231,0.81283,0,0.00038125,0.00038125,0.00038125
127,153.887,0.69529,0.91327,0.60806,0.86379,0,0.99558,1,0.995,0.91143,0.99558,1,0.995,0.86614,0.40629,0.56484,0.44231,0.81283,0,0.0003763,0.0003763,0.0003763
128,155.01,0.74269,1.01581,0.57607,0.88915,0,0.99558,1,0.995,0.91143,0.99558,1,0.995,0.86614,0.40629,0.56484,0.44231,0.81283,0,0.00037135,0.00037135,0.00037135
129,156.19,0.7427,1.08098,0.71702,0.89764,0,0.99558,1,0.995,0.91143,0.99558,1,0.995,0.86614,0.40629,0.56484,0.44231,0.81283,0,0.0003664,0.0003664,0.0003664
130,157.386,0.73473,0.84435,0.58238,0.91104,0,0.99553,1,0.995,0.91251,0.99553,1,0.995,0.87964,0.40447,0.56658,0.4188,0.81298,0,0.00036145,0.00036145,0.00036145
131,158.529,0.68797,0.87182,0.61553,0.90767,0,0.99553,1,0.995,0.91251,0.99553,1,0.995,0.87964,0.40447,0.56658,0.4188,0.81298,0,0.0003565,0.0003565,0.0003565
